bucket,produto_id,nome,tipo,descontinuado,controla_estoque,categoria_compras,items_nfe_matched,orfaos_token_match,vendas_total,vendas_90d,vendas_30d,qtd_vendida_30d,ultima_venda
AUTO_NFE,3c45da8e-be0e-4991-be79-4fa0e57045f0,Xarope Monin Caramelo Salgado 700ml,INSUMO,false,true,,0,2,0,0,0,0,
AUTO_NFE,24c8bf0a-31f0-4628-87db-efa98cb09a09,Smirnoff 998ml,INSUMO,false,true,,0,1,0,0,0,0,
DESCONTINUADO,1e136b9d-3ee0-453a-bbfc-932f8e0cb47a,* Excluído * Saquê Mirin,INSUMO,true,true,,0,0,0,0,0,0,
AUTO_NFE,5c42567f-7419-48f6-b815-c806cd16bda8,Caipiroska com ciroc/absolut,VENDA_SIMPLES,false,false,,0,3,0,0,0,0,
DESCONTINUADO,6b1dbec8-e2ad-409b-9253-638d4e0eaac3,* Excluído * Folhada sergipana - Evento 23/05,VENDA_SIMPLES,true,false,,0,2,0,0,0,0,
DESCONTINUADO,2aa85bd4-6932-43b6-b820-7cef529906e7,* Excluído * Chiclete de camarão,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
DESCONTINUADO,b1fb863b-fa5a-4045-872b-04b6f252965c,* Excluído * Leite Ninho,INSUMO,true,true,,0,13,0,0,0,0,
AUTO_NFE,48daebc0-fb49-4a9f-a330-cafea869eda8,XAROPE DE ACUCAR - Drink,INSUMO,false,true,,0,10,0,0,0,0,
DESCONTINUADO,026a9b3e-7390-4778-9829-7082e1c86fdb,* Excluído * Vinho Royal Oporto 10 anos Tawny Porto - Taça,INSUMO,true,true,,0,5,0,0,0,0,
AUTO_NFE,46aaf0ed-0bdf-4b1f-9232-6dfb42603824,Molho de Tomate,INSUMO,false,true,,0,6,0,0,0,0,
AUTO_NFE,922ee525-ed5b-4d0f-8e01-d5204d67fc04,Porcao de Penne - 160g,INSUMO,false,true,,0,1,0,0,0,0,
AUTO_NFE,33aa3005-fad0-4c56-b05a-200f98893735,FOLHADA SERGIPANA,VENDA_SIMPLES,false,true,,0,2,0,0,0,0,
AUTO_NFE,6c73b182-fd95-4489-a5e9-3c88384e4c6d,Sobrecoxa de Frango - 200g,INSUMO,false,true,,0,18,0,0,0,0,
AUTO_NFE,9822698c-0a4f-41ba-80f7-0d97499b504c,Vinho Tinto Serras do Azeitao Bacalhoa,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
AUTO_NFE,696576ac-a275-4ad3-a7b1-9e79c36b9d84,Filé à parmegiana - Executivo,VENDA_SIMPLES,false,false,,0,9,0,0,0,0,
AUTO_NFE,db851914-86bb-4c2e-8c1c-655fd61d5d0b,Vinho Tinto Salbide Rioja Espanhol,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
AUTO_NFE,d9c5cc93-9fba-461a-bf70-793db80d0197,Mexilhao  - Porção (50g),INSUMO,false,true,,0,2,0,0,0,0,
